genes,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,comp_1,comp_2,n_ligand,class
Trp53rkb,1.5790389912212483e-6,0.2773703489881707,0.171,0.169,0.02505619071269876,IL2,p129,1,unique
Avl9,1.609391062089763e-6,0.11217244089218116,0.185,0.195,0.02553781737324036,IL2,p129,1,unique
Tmem94,1.6117255302147877e-6,0.1744167769382332,0.096,0.103,0.02557486071344824,IL2,p129,1,unique
Abhd2,1.614947651355385e-6,0.1022281753103691,0.216,0.226,0.02562598933170724,IL2,p129,1,unique
Slfn9,1.6154603286168186e-6,0.11155372056009094,0.19,0.203,0.02563412449449167,IL2,p129,2,moderate (1-5)
Aacs,1.6241981820204986e-6,0.1613921982047961,0.293,0.295,0.02577277675230127,IL2,p129,1,unique
Gtf2ird2,1.6261427751972818e-6,0.21665215922399783,0.097,0.1,0.02580363355683046,IL2,p129,1,unique
Llgl1,1.6320681595434883e-6,0.3616560339556725,0.137,0.126,0.02589765755563607,IL2,p129,1,unique
Exoc1,1.670323224880074e-6,0.17160391403702047,0.245,0.245,0.02650468893239701,IL2,p129,2,moderate (1-5)
Selenot,1.6720779434839004e-6,-0.1275890180867092,0.425,0.486,0.02653253280720253,IL2,p129,1,unique
Ybey,1.686617919380637e-6,0.2255398074369852,0.135,0.137,0.02676325314473195,IL2,p129,1,unique
Cip2a,1.6891279112784117e-6,-0.20175612081049477,0.377,0.433,0.02680308169616583,IL2,p129,1,unique
Myo10,1.7303222761677798e-6,0.292657401367153,0.156,0.148,0.02745675387823033,IL2,p129,1,unique
Egln2,1.7578075814232704e-6,0.1111756115845699,0.216,0.224,0.02789289070202445,IL2,p129,1,unique
Glul,1.783140829510023e-6,0.24117069962274296,0.269,0.257,0.02829487868266504,IL2,p129,2,moderate (1-5)
Leprotl1,1.7932384140881974e-6,-0.11035720756146644,0.693,0.74,0.02845510715475151,IL2,p129,1,unique
Fhip1b,1.7949109832974872e-6,0.14282528541284822,0.145,0.153,0.02848164748296452,IL2,p129,1,unique
Gm2296,1.7949854674492382e-6,-0.18631633234994904,0.12,0.151,0.02848282939748451,IL2,p129,1,unique
Sidt2,1.7973613773955586e-6,0.13080878040220845,0.316,0.328,0.02852053033651272,IL2,p129,1,unique
Ampd2,1.7985853066597028e-6,0.1129834315042404,0.261,0.28,0.02853995164607616,IL2,p129,1,unique
Asl,1.8032575145167144e-6,0.10646362392716656,0.182,0.194,0.02861409024035122,IL2,p129,1,unique
Akirin2,1.8581600201374725e-6,-0.23005123167018837,0.234,0.284,0.02948528319954141,IL2,p129,1,unique
Sypl,1.8641779320612168e-6,-0.18713467438609044,0.341,0.398,0.02958077542594738,IL2,p129,1,unique
Faap24,1.864663159307423e-6,-0.1637095399681563,0.274,0.321,0.02958847501189018,IL2,p129,1,unique
Tapt1,1.8900653000436589e-6,0.14375152961393067,0.281,0.279,0.02999155618109278,IL2,p129,2,moderate (1-5)
Srebf2,1.930916942162936e-6,-0.10493274432220934,0.577,0.638,0.03063979003824147,IL2,p129,1,unique
Jmjd4,1.9420200967672846e-6,0.2108690939619775,0.116,0.12,0.03081597489550327,IL2,p129,1,unique
Spin4,1.950370049632771e-6,0.40544329349058605,0.161,0.145,0.03094847194757281,IL2,p129,1,unique
Rgs2,1.96435018199145e-6,-0.10581376401626395,0.269,0.308,0.03117030868784033,IL2,p129,2,moderate (1-5)
Acad8,1.9772140876154807e-6,0.1163855274430512,0.195,0.2,0.03137443314228245,IL2,p129,1,unique
Filip1l,1.9773975895377884e-6,0.2494867733136288,0.335,0.374,0.03137734495078562,IL2,p129,1,unique
Ust,1.9867292051835274e-6,0.1852513814563972,0.151,0.153,0.03152541902785221,IL2,p129,1,unique
Pip5k1b,1.9869797826310894e-6,0.2725503504042104,0.187,0.173,0.03152939519079013,IL2,p129,1,unique
Atp6v1h,2.000189164978553e-6,0.10622939926972053,0.404,0.414,0.03173900166987968,IL2,p129,1,unique
Mgrn1,2.005676526746068e-6,0.10016515345148802,0.178,0.19,0.0318260751264066,IL2,p129,1,unique
Frmd8,2.018640313424354e-6,-0.12677763853283586,0.273,0.32,0.03203178449341765,IL2,p129,2,moderate (1-5)
Ccs,2.024648628018381e-6,0.13534077127910282,0.375,0.381,0.03212712442939566,IL2,p129,1,unique
Tmem126b,2.0262178179186584e-6,-0.13313974798824146,0.147,0.181,0.03215202433473327,IL2,p129,1,unique
F8a,2.0361013252084712e-6,0.1206933797253491,0.199,0.205,0.03230885582840802,IL2,p129,1,unique
Leng1,2.0379120216604493e-6,0.1302539895586139,0.176,0.186,0.03233758795970801,IL2,p129,1,unique
Ebi3,2.053076488766129e-6,-0.3170004004151914,0.089,0.121,0.03257821772374093,IL2,p129,3,moderate (1-5)
Rnf113a2,2.0540297544936134e-6,0.18075989916644983,0.281,0.278,0.03259334414430465,IL2,p129,1,unique
Tmem237,2.068958184176503e-6,0.13467561878591017,0.229,0.231,0.03283022846651275,IL2,p129,1,unique
Sun1,2.096316214896438e-6,0.10227113419408784,0.141,0.154,0.03326434569797668,IL2,p129,1,unique
Yipf5,2.101738643699579e-6,0.12573271989187806,0.406,0.412,0.03335038879822492,IL2,p129,1,unique
Wdr6,2.144984599123837e-6,0.17947978143057064,0.21,0.206,0.03403661561889704,IL2,p129,1,unique
Tigar,2.1722534672578925e-6,-0.1585664799553972,0.129,0.159,0.03446931801844824,IL2,p129,1,unique
Setd7,2.1773677867673673e-6,-0.10106316279980908,0.288,0.329,0.03455047204042458,IL2,p129,1,unique
Il2ra,2.227100540677144e-6,0.1282275641298403,0.9,0.905,0.03533963137946492,IL2,p129,4,moderate (1-5)
Orc5,2.236104516740627e-6,0.17764508805757606,0.458,0.451,0.03548250647164026,IL2,p129,1,unique
Ppip5k2,2.2411682582671403e-6,0.1258971871437724,0.575,0.574,0.03556285792218298,IL2,p129,1,unique
Trim59,2.241629432484491e-6,-0.13817940034948384,0.516,0.576,0.0355701758346639,IL2,p129,1,unique
Lockd,2.243371132813666e-6,-0.13239192254611964,0.325,0.367,0.03559781313548725,IL2,p129,3,moderate (1-5)
Tmem39b,2.2504998596127283e-6,0.15560651397245406,0.251,0.251,0.03571093177233477,IL2,p129,1,unique
2810001A02Rik,2.270913814563055e-6,0.10296700467894726,0.358,0.372,0.03603486040948656,IL2,p129,1,unique
Tarsl2,2.274073499963271e-6,0.3729735880902858,0.151,0.134,0.03608499829741718,IL2,p129,1,unique
Tatdn2,2.289235774348171e-6,-0.11352559606014578,0.201,0.231,0.03632559326735678,IL2,p129,2,moderate (1-5)
Ppp1r12c,2.3479127476633667e-6,-0.19040941242895704,0.281,0.33,0.0372566794799223,IL2,p129,1,unique
Smo,2.35958875258207e-6,0.31385229406259585,0.136,0.126,0.03744195432597229,IL2,p129,1,unique
Sla2,2.3648418388535417e-6,0.110017914731261,0.139,0.148,0.037525310298928,IL2,p129,2,moderate (1-5)
Trim32,2.3765687032288055e-6,0.21418331812712088,0.091,0.094,0.03771139218283469,IL2,p129,1,unique
Anln,2.3824142600798188e-6,-0.11959300594118227,0.291,0.336,0.03780414947894656,IL2,p129,1,unique
Tjap1,2.402083041334998e-6,-0.22248612713532312,0.179,0.22,0.03811625369990375,IL2,p129,1,unique
Ccne1,2.4040643019322423e-6,0.12505236874139092,0.515,0.522,0.03814769234306082,IL2,p129,1,unique
Micu3,2.440051245002149e-6,-0.11177358448382702,0.177,0.213,0.0387187331556941,IL2,p129,1,unique
Pigt,2.516085178090702e-6,0.1567814487142568,0.466,0.462,0.03992523960594326,IL2,p129,1,unique
Prkcb,2.5771828637754204e-6,0.1034078076462217,0.49,0.497,0.04089473768238837,IL2,p129,1,unique
Cntln,2.590111889538054e-6,0.22320566002469344,0.294,0.287,0.04109989546318985,IL2,p129,1,unique
Nfkbid,2.593319190016217e-6,-0.10085341876412612,0.674,0.738,0.04115078890717733,IL2,p129,3,moderate (1-5)
Blzf1,2.598095176092299e-6,-0.11418106846025068,0.208,0.24,0.0412265742542326,IL2,p129,1,unique
Arl14ep,2.6004372582464586e-6,0.11994529897991636,0.279,0.284,0.0412637384138548,IL2,p129,1,unique
Scrib,2.610671573496823e-6,0.1040097638962525,0.285,0.295,0.04142613652824759,IL2,p129,1,unique
Rps6ka4,2.638757400011582e-6,-0.15772028166573193,0.093,0.117,0.04187180242338378,IL2,p129,1,unique
Arl5b,2.6518757003567943e-6,0.2743483036561032,0.206,0.197,0.04207996361326161,IL2,p129,1,unique
Pdcd5,2.6593804092574306e-6,0.11697739531476135,0.854,0.857,0.0421990483340969,IL2,p129,3,moderate (1-5)
Abtb2,2.6746093721890183e-6,0.13405143196399605,0.321,0.33,0.04244070151789534,IL2,p129,1,unique
Nfu1,2.6909448408899233e-6,-0.108966849977171,0.533,0.583,0.0426999127352413,IL2,p129,1,unique
Zfp141,2.6929206667051463e-6,0.11961863066965296,0.166,0.174,0.04273126513927726,IL2,p129,1,unique
Prelid2,2.6936432427827833e-6,0.172893562379125,0.258,0.257,0.0427427309764772,IL2,p129,1,unique
Anks1,2.72850529976947e-6,0.29658348151200054,0.16,0.152,0.04329592209674195,IL2,p129,1,unique
Gm51425,2.732229137872848e-6,0.11321874179070156,0.11,0.121,0.04335501195976635,IL2,p129,1,unique
Sco2,2.7348379007442954e-6,0.5881170696461648,0.063,0.052,0.04339640780901048,IL2,p129,1,unique
Paox,2.7399045558961248e-6,-0.13075229569202795,0.204,0.24,0.04347680549295971,IL2,p129,1,unique
Utf1,2.743382596069544e-6,0.16111945091858804,0.195,0.207,0.04353199503443152,IL2,p129,1,unique
Tpgs2,2.7929909377534348e-6,-0.19074249630465312,0.164,0.203,0.0443191802002715,IL2,p129,1,unique
Usp28,2.8143005700087025e-6,0.19219605697162523,0.165,0.164,0.04465732144489809,IL2,p129,1,unique
Praf2,2.8463918306393263e-6,-0.18759463997752104,0.158,0.191,0.04516654556858483,IL2,p129,1,unique
Crybg1,2.891339643677607e-6,0.148547423568695,0.331,0.331,0.04587977746587626,IL2,p129,3,moderate (1-5)
Mecp2,2.906745655399137e-6,-0.11347721593297132,0.306,0.349,0.0461242400598735,IL2,p129,1,unique
Srp54a,2.9354845848262943e-6,-0.13346821757678295,0.232,0.266,0.04658026939202363,IL2,p129,1,unique
Gpd1l,2.946053096013194e-6,0.4324694949964027,0.139,0.117,0.04674797052753736,IL2,p129,1,unique
Mynn,3.0204015110157806e-6,0.10792305826790471,0.232,0.242,0.04792773117679841,IL2,p129,1,unique
Mgat4a,3.110398738622578e-6,0.12298463469856946,0.111,0.118,0.04935580718446306,IL2,p129,1,unique
Dusp7,3.1911776616307535e-6,0.1285515910982702,0.197,0.204,0.0506376071347568,IL2,p129,1,unique
Stx18,3.201441298996649e-6,-0.13844224975763764,0.242,0.287,0.05080047053247882,IL2,p129,1,unique
Inpp1,3.2128138274729064e-6,0.2283890087468716,0.165,0.161,0.05098092981434007,IL2,p129,1,unique
Dlg3,3.2183738736058847e-6,0.2852324437663185,0.126,0.122,0.05106915662637817,IL2,p129,1,unique
H1f1,3.220185986462101e-6,-0.1164270739093698,0.439,0.49,0.05109791123318061,IL2,p129,2,moderate (1-5)
Nup188,3.220648722856625e-6,0.11111424534680749,0.424,0.43,0.05110525393428892,IL2,p129,1,unique
6720427I07Rik,3.227115313209413e-6,-0.10313271520473988,0.199,0.234,0.05120786579000697,IL2,p129,2,moderate (1-5)
Sema4b,3.2341368749696526e-6,0.10130771616530464,0.111,0.122,0.05131928393201845,IL2,p129,1,unique
Anxa6,3.243229365121586e-6,0.1453800528208663,0.449,0.446,0.05146356356574932,IL2,p129,2,moderate (1-5)
Cbx7,3.2502332825064783e-6,-0.2790455667028944,0.162,0.209,0.0515747017268128,IL2,p129,1,unique
Ada,3.27011522631488e-6,0.14000234526560007,0.213,0.212,0.05189018841116451,IL2,p129,1,unique
Maml3,3.2987111527514267e-6,0.14760778879763592,0.178,0.189,0.05234394857185964,IL2,p129,1,unique
Alg9,3.3321710779116087e-6,0.1881120463466286,0.166,0.166,0.0528748906643014,IL2,p129,1,unique
Ccdc18,3.3795486853988647e-6,-0.1306129685191575,0.116,0.143,0.05362667853990918,IL2,p129,1,unique
Brwd3,3.3878033862278813e-6,-0.1019457402728654,0.193,0.229,0.05375766413266402,IL2,p129,1,unique
Rassf3,3.396876744318747e-6,-0.10935261571156564,0.172,0.206,0.05390164017884987,IL2,p129,1,unique
Dgka,3.432313301368206e-6,0.12611090544975267,0.517,0.514,0.0544639474661107,IL2,p129,3,moderate (1-5)
Aff3,3.4389948930991084e-6,0.11520166762906642,0.645,0.66,0.05456997096369665,IL2,p129,6,high (5-10)
Vps51,3.440901732368385e-6,0.1830958568485419,0.329,0.327,0.05460022868922153,IL2,p129,1,unique
Cul2,3.4974631374217847e-6,-0.10886140389262657,0.448,0.508,0.05549774506460888,IL2,p129,1,unique
Galnt12,3.5370894747101623e-6,0.16943134036111562,0.204,0.202,0.05612653578470086,IL2,p129,1,unique
Eid2,3.565380522703522e-6,0.4326684878853526,0.112,0.099,0.05657545813425949,IL2,p129,1,unique
Dynlt2b,3.5737166936890186e-6,-0.11162721433150267,0.083,0.104,0.05670773649545735,IL2,p129,1,unique
Pacs1,3.597515534413253e-6,0.15422817153937762,0.306,0.305,0.0570853765000695,IL2,p129,1,unique
Vim,3.6292342997076384e-6,-0.1658767645556316,0.54,0.589,0.05758868986776081,IL2,p129,3,moderate (1-5)
Cd24a,3.6348337029597417e-6,0.13499421306995307,0.238,0.247,0.05767754119856518,IL2,p129,3,moderate (1-5)
Pld3,3.6691006207654225e-6,-0.11759047554656732,0.265,0.305,0.05822128865030572,IL2,p129,1,unique
Depdc5,3.677291460830643e-6,0.22489503960118773,0.279,0.269,0.05835126090046065,IL2,p129,1,unique
Wrnip1,3.6854134279156985e-6,0.11294625128683888,0.371,0.379,0.05848014027416631,IL2,p129,1,unique
Coq4,3.704680482327814e-6,-0.11484629931317691,0.211,0.247,0.05878586989357775,IL2,p129,2,moderate (1-5)
Stat3,3.7079915248314663e-06,-0.1331462993359377,0.431,0.49,0.05883840951602571,IL2,p129,6,high (5-10)
Asxl3,3.7102689129862434e-6,0.10217617788099398,0.159,0.174,0.05887454711126571,IL2,p129,1,unique
Rufy1,3.7182098351950247e-6,0.15825166886105935,0.19,0.194,0.05900055366487465,IL2,p129,1,unique
Acot13,3.720486505375926e-6,0.24459469932043865,0.241,0.229,0.0590366798673052,IL2,p129,1,unique
Cd28,3.7589099808117328e-6,0.12033668084282612,0.68,0.689,0.05964638357552057,IL2,p129,2,moderate (1-5)
Amfr,3.7850943800029938e-6,0.11822648312792183,0.4,0.407,0.0600618776218875,IL2,p129,2,moderate (1-5)
Car12,3.820369558872319e-6,-0.24168978305775024,0.138,0.177,0.06062162416018596,IL2,p129,1,unique
Aida,3.820856394761598e-6,-0.10768745193327978,0.331,0.376,0.06062934927207703,IL2,p129,1,unique
Pdxdc1,3.878704214243232e-6,0.1217226071068136,0.311,0.314,0.06154727847161161,IL2,p129,1,unique
Gm56626,4.024047053730037e-6,0.4989968615201592,0.099,0.085,0.06385357864858822,IL2,p129,1,unique
Ppp1r15b,4.063920926717125e-6,0.12816375215454456,0.469,0.472,0.06448629726514735,IL2,p129,1,unique
Nudt3,4.092545289428627e-6,0.11600853199493176,0.434,0.441,0.06494050865265345,IL2,p129,1,unique
Nfix,4.102870736856307e-6,0.2985270231425017,0.118,0.115,0.06510435285243588,IL2,p129,1,unique
H3c11,4.129864317291287e-6,-0.11139393123340512,0.109,0.13,0.06553268698677814,IL2,p129,1,unique
Bcas3,4.2337214152004504e-6,0.14242717939895533,0.228,0.235,0.06718069141640075,IL2,p129,1,unique
Enthd1,4.26344046551092e-6,-0.34798402816896834,0.067,0.097,0.06765227330672728,IL2,p129,1,unique
Tnfrsf4,4.308624025023538e-6,-0.11091968108831374,0.983,0.989,0.0683692460290735,IL2,p129,6,high (5-10)
Polr3e,4.325050273604161e-6,-0.10109030933658314,0.336,0.379,0.06862989774155083,IL2,p129,1,unique
Noc3l,4.355542362064761e-6,-0.10575559763974574,0.471,0.52,0.06911374620124362,IL2,p129,1,unique
Stx12,4.3637133466493e-6,0.1315391118090794,0.249,0.257,0.0692434033846311,IL2,p129,1,unique
Sapcd2,4.381286182210641e-6,-0.2892711428876922,0.118,0.152,0.06952224913931845,IL2,p129,2,moderate (1-5)
Ipo4,4.416426391377828e-6,0.1268456499756947,0.369,0.373,0.07007985397838337,IL2,p129,2,moderate (1-5)
Inpp5k,4.459706820763421e-6,-0.15431181752186918,0.185,0.226,0.07076662783187397,IL2,p129,1,unique
Nr4a3,4.466772227707851e-6,0.23071900232239417,0.394,0.388,0.07087874170926818,IL2,p129,4,moderate (1-5)
Acat2,4.495363658389672e-6,0.2587878857571324,0.117,0.117,0.07133243053132732,IL2,p129,1,unique
Dvl2,4.519405279960569e-6,0.3852912695401036,0.133,0.117,0.0717139229824143,IL2,p129,1,unique
Nfic,4.557562709245248e-6,-0.2711248191360758,0.102,0.135,0.07231940507030359,IL2,p129,1,unique
Cep44,4.574616832024517e-6,-0.11277464146024084,0.252,0.287,0.07259001989056503,IL2,p129,1,unique
Atp11a,4.577853784461709e-6,0.233405736908614,0.17,0.166,0.0726413838518384,IL2,p129,4,moderate (1-5)
Tyw1,4.700865630575043e-6,0.1292151010996494,0.454,0.449,0.0745933358259648,IL2,p129,1,unique
Cep43,4.735948656062245e-6,-0.1064528456233127,0.416,0.465,0.0751500332743957,IL2,p129,1,unique
Grhpr,4.811627977508102e-6,0.17039272743424716,0.228,0.227,0.07635091274709856,IL2,p129,1,unique
Rnf25,4.846421577866704e-6,0.17193757225123818,0.217,0.217,0.07690301759758886,IL2,p129,1,unique
2210016L21Rik,4.8596925836399776e-6,-0.11015154471278764,0.494,0.547,0.07711360191719917,IL2,p129,1,unique
Nsmce3,4.922397640419363e-6,0.11388558631540913,0.395,0.394,0.07810860575817445,IL2,p129,1,unique
Chmp7,4.931084650795592e-6,0.10132849239991516,0.17,0.18,0.07824645123882445,IL2,p129,1,unique
Abcb8,4.931251878718901e-6,-0.2499877260121286,0.199,0.246,0.07824910481151152,IL2,p129,1,unique
Dgke,4.986626316941998e-6,0.34497782613424244,0.11,0.102,0.07912778639723562,IL2,p129,1,unique
Dlgap4,4.995300831277939e-6,-0.11812736059171323,0.174,0.207,0.07926543359071833,IL2,p129,1,unique
Strip1,5.0049497973818825e-6,0.10244383247183377,0.201,0.21,0.07941854338485571,IL2,p129,2,moderate (1-5)
Wdr20,5.013221915018064e-6,-0.1597272701421386,0.245,0.289,0.07954980534750665,IL2,p129,1,unique
Mrpl57,5.033525239518849e-6,-0.11140082121273488,0.815,0.849,0.0798719785006851,IL2,p129,1,unique
Patj,5.0921856105521785e-6,0.3294380313883787,0.172,0.152,0.08080280126824196,IL2,p129,1,unique
Cdc7,5.1021307383984385e-6,0.23110360397474028,0.279,0.269,0.08096061055690643,IL2,p129,1,unique
Trat1,5.151645845492605e-6,0.15621886075657154,0.252,0.259,0.08174631627627665,IL2,p129,6,high (5-10)
Rnf2,5.158274873802606e-6,0.1491463443275853,0.329,0.325,0.08185150569749976,IL2,p129,1,unique
4930500G05Rik,5.197498493162822e-6,0.17526465074900344,0.074,0.083,0.08247390608950766,IL2,p129,1,unique
Pik3cg,5.203720176936882e-6,-0.11822577799588084,0.118,0.143,0.08257263176763445,IL2,p129,2,moderate (1-5)
Slc35e2,5.2166500811831176e-6,0.2945485427611998,0.178,0.17,0.0827778034882137,IL2,p129,1,unique
Socs5,5.308902339238151e-6,0.4491169861311426,0.105,0.091,0.08424166231903098,IL2,p129,1,unique
Camta1,5.312484844890206e-6,0.11595457893321814,0.322,0.334,0.0842985095187178,IL2,p129,1,unique
Isca1,5.312694873175344e-6,0.18615834622929703,0.239,0.236,0.08430184224754636,IL2,p129,1,unique
Fcrl1,5.364071330740623e-6,-0.29224033260922555,0.161,0.206,0.0851170838761922,IL2,p129,3,moderate (1-5)
Gpr18,5.482831657558843e-6,0.1263149367605796,0.268,0.28,0.08700157274214372,IL2,p129,1,unique
Zfp653,5.555755162907704e-6,0.21552938933487464,0.14,0.141,0.08815872292501944,IL2,p129,1,unique
Tes,5.64715474029298e-6,0.1049736686734889,0.783,0.786,0.08960905141896901,IL2,p129,5,moderate (1-5)
Birc2,5.648903528332881e-6,0.1210400752665688,0.27,0.276,0.08963680118758616,IL2,p129,1,unique
Zfp668,5.7152086668373935e-6,0.16055055390033468,0.147,0.151,0.09068893112537577,IL2,p129,1,unique
Ercc4,5.752085745331592e-6,0.11391337248499545,0.208,0.216,0.0912740966069217,IL2,p129,1,unique
Pigg,5.781570363083044e-6,-0.189141797121942,0.097,0.123,0.09174195852140174,IL2,p129,1,unique
Luc7l,5.937910551797198e-6,-0.1039377379064167,0.783,0.823,0.09422276463591794,IL2,p129,2,moderate (1-5)
Ltb,5.976998430702006e-6,0.16732854141121145,0.533,0.536,0.09484301109837943,IL2,p129,8,high (5-10)
Phkg2,6.0294889129897614e-6,0.12964747337066074,0.249,0.253,0.09567593007132154,IL2,p129,1,unique
Dipk2a,6.033953639712383e-6,0.31510318926059355,0.095,0.089,0.0957467763549561,IL2,p129,1,unique
Zswim6,6.0377991728101624e-6,0.22988282072667365,0.216,0.212,0.09580779727415166,IL2,p129,1,unique
Mthfsl,6.038913539904836e-6,-0.11042855637099835,0.163,0.198,0.09582548005120994,IL2,p129,1,unique
Pi4ka,6.049314313337817e-6,0.11492378949115234,0.345,0.352,0.09599051952404448,IL2,p129,1,unique
Tecpr2,6.098542277692449e-6,0.23925913457196923,0.145,0.143,0.09677166886242378,IL2,p129,1,unique
Tmem138,6.1774443064927546e-6,-0.12341612252469192,0.226,0.264,0.09802368625542704,IL2,p129,1,unique
Lrrc57,6.217838836107599e-6,-0.3578953945442698,0.14,0.187,0.09866466665135538,IL2,p129,1,unique
Sfmbt1,6.2671354420147936e-6,0.13342735150067808,0.325,0.33,0.09944690519389074,IL2,p129,1,unique
Dnajc18,6.289681894345775e-6,0.12656764755483785,0.156,0.161,0.09980467229947876,IL2,p129,1,unique
Xpnpep3,6.296506653206737e-6,0.18168987165475817,0.179,0.181,0.0999129675730845,IL2,p129,1,unique
Cd52,1.5436835253511483e-6,-0.1734102140149889,1,0.998,0.02449517018027202,INHBB,p129,17,very high (10+)
Rgs10,1.6847187957834388e-6,-0.33556553535315065,0.786,0.825,0.0267331178514916,INHBB,p129,10,high (5-10)
Il2,5.9840202776220385e-6,0.3658423888146411,0.671,0.571,0.0949544337653065,INHBB,p129,5,moderate (1-5)
Ly6a,1.8422584391393928e-218,5.308186793804024,0.74,0.054,2.923295691226389e-214,IL27,p129,12,very high (10+)
Tbx21,7.315708680875603e-198,6.083646187476097,0.557,0.01,1.1608566534813408e-193,IL27,p129,5,moderate (1-5)
Gbp2,8.033621235125959e-169,3.2097555821862302,0.825,0.227,1.2747750175897875e-164,IL27,p129,11,very high (10+)
Stat1,1.6529026606625863e-167,1.8458980131772305,0.947,0.667,2.6228259419393915e-163,IL27,p129,10,high (5-10)
Psmb9,1.845608328052122e-148,1.6299595483550775,0.931,0.666,2.928611294953107e-144,IL27,p129,8,high (5-10)
Irf8,5.345823286170072e-144,2.7771000565470887,0.787,0.283,8.482752390494671e-140,IL27,p129,7,high (5-10)
Irf1,2.8347202899707407e-133,2.6080572878227715,0.817,0.249,4.498134156125571e-129,IL27,p129,9,high (5-10)
Tap1,1.5731404626749543e-126,1.788209219310243,0.878,0.508,2.4962592861726175e-122,IL27,p129,10,high (5-10)
Igtp,4.014486838500489e-109,2.7088617368714374,0.72,0.188,6.370187715332574e-105,IL27,p129,8,high (5-10)
Iigp1,1.972063533393014e-98,5.133640444233116,0.385,0.017,3.1292704147880345e-94,IL27,p129,4,moderate (1-5)
Gbp4,9.096698191023643e-77,2.867768348452867,0.524,0.108,1.4434640689516322e-72,IL27,p129,4,moderate (1-5)
Irgm1,4.399709446719262e-64,2.997179795070729,0.454,0.086,6.981458950054125e-60,IL27,p129,5,moderate (1-5)
Gbp6,4.5112889799370825e-63,3.790037041781404,0.321,0.028,7.158513353364161e-59,IL27,p129,6,high (5-10)
Calhm6,1.0417512320327106e-52,3.9397599566625088,0.263,0.021,1.6530508549895056e-48,IL27,p129,2,moderate (1-5)
Gbp5,3.292986502214309e-52,2.178251783726954,0.51,0.151,5.2253109817136657e-48,IL27,p129,7,high (5-10)
Gimap4,5.836676543835397e-51,1.4213771883341817,0.751,0.428,9.261638339758006e-47,IL27,p129,9,high (5-10)
Gbp7,1.1502958802763055e-46,2.736280229338039,0.343,0.058,1.8252895028224413e-42,IL27,p129,4,moderate (1-5)
Psmb8,1.727039068911322e-46,0.7600132164824309,0.972,0.894,2.7404655945484855e-42,IL27,p129,7,high (5-10)
Irgm2,6.0390281611168664e-46,2.9089063681695553,0.274,0.039,9.582729886060242e-42,IL27,p129,5,moderate (1-5)
Nlrc5,1.0313152371228878e-43,1.6161158378573992,0.598,0.242,1.6364910182665985e-39,IL27,p129,7,high (5-10)
Etv6,1.1929634773837198e-40,1.1615736782431978,0.759,0.447,1.892994445912487e-36,IL27,p129,5,moderate (1-5)
Ifi47,1.822244710682629e-38,1.1144526801435013,0.837,0.614,2.8915379069111956e-34,IL27,p129,5,moderate (1-5)
Tgtp2,1.7191377647609608e-35,3.2813010826015305,0.188,0.016,2.727927805122693e-31,IL27,p129,3,moderate (1-5)
Tap2,2.3459015594770111e-35,1.1526948595632218,0.69,0.428,3.7224765945781213e-31,IL27,p129,6,high (5-10)
Rgs1,5.308735909374462e-33,1.028580185673459,0.817,0.607,8.423902140995397e-29,IL27,p129,9,high (5-10)
Ms4a4b,8.145790385249929e-33,-0.8223894667240763,0.776,0.91,1.292574018331459e-28,IL27,p129,10,high (5-10)
Icam1,9.428014435689052e-33,1.7443297343222428,0.416,0.153,1.4960373306551387e-28,IL27,p129,6,high (5-10)
Bst2,1.1902776368347896e-31,0.7604433198214645,0.845,0.707,1.888732554129444e-27,IL27,p129,6,high (5-10)
9330175E14Rik,1.0475910417893365e-30,2.501441847988395,0.186,0.029,1.6623174651113192e-26,IL27,p129,4,moderate (1-5)
Ppa1,9.103617918413868e-30,0.5396908665962434,0.975,0.909,1.4445620912939128e-25,IL27,p129,6,high (5-10)
Tbkbp1,1.2788778897355204e-29,6.209086115786375,0.091,0.001,2.0293234354323239e-25,IL27,p129,1,unique
Gimap5,2.0074330437234747e-29,0.8629495882634151,0.861,0.656,3.1853947537804097e-25,IL27,p129,10,high (5-10)
Pmepa1,2.0661045575070023e-29,1.2787314969916368,0.526,0.248,3.278494711852112e-25,IL27,p129,7,high (5-10)
Junb,3.600705538501058e-29,0.5884389729619444,0.958,0.834,5.713599548493479e-25,IL27,p129,8,high (5-10)
Ly6c1,3.830163524966799e-28,4.263847561516908,0.111,0.006,6.077703481417317e-24,IL27,p129,2,moderate (1-5)
B2m,2.3104704019384873e-27,0.3111418183863517,1,1,3.666254433795992e-23,IL27,p129,6,high (5-10)
Tapbpl,6.793391747995422e-27,1.04658888786689,0.668,0.417,1.0779754025719136e-22,IL27,p129,7,high (5-10)
ENSMUSG00000121501,2.4753917752067788e-26,1.2509502930217304,0.557,0.322,3.927951668898117e-22,IL27,p129,6,high (5-10)
Il12rb1,7.432635643453993e-26,1.258577689114932,0.504,0.25,1.1794106239032796e-21,IL27,p129,5,moderate (1-5)
Irf9,1.324203430948943e-25,1.7445530409603998,0.341,0.112,2.1012460042297828e-21,IL27,p129,7,high (5-10)
Aff3,1.8369086303132411e-25,0.9360794234734426,0.842,0.66,2.914806614581051e-21,IL27,p129,6,high (5-10)
Socs1,3.4307297205501964e-23,1.138222329359943,0.56,0.316,5.4438819205690505e-19,IL27,p129,6,high (5-10)
